Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.175227,0.022237,0.20968
1,0.18832,0.022201,0.0162894
2,0.165327,0.0223274,0.0172529
3,0.176264,0.0221383,0.017102
4,0.17539,0.0266786,0.0183657
5,0.163957,0.0221778,0.0186011
6,0.168193,0.0221843,0.0161552
7,0.16691,0.0222565,0.0205905
8,0.165457,0.0223711,0.0193769
9,0.16476,0.0222158,0.0175591
10,0.167516,0.0222013,0.0157985
11,0.207321,0.0223975,0.0201081
12,0.165196,0.0226555,0.0171917
13,0.169449,0.0222267,0.0163202
14,0.172334,0.0225598,0.0189466
15,0.183029,0.0224154,0.0196669
16,0.204259,0.0223445,0.0176142
17,0.169513,0.0221703,0.0188328
18,0.168171,0.0222281,0.0181821
19,0.168278,0.0221564,0.0170612
20,0.167847,0.022424,0.0181546
21,0.167445,0.0220646,0.0166431
22,0.168386,0.0220324,0.0189691
23,0.167745,0.0220799,0.0183564
24,0.180797,0.0221148,0.0178759
25,0.17453,0.0237578,0.0180272
26,0.178304,0.0232822,0.0188869
27,0.182008,0.0243478,0.0164776
28,0.182712,0.0236622,0.0163253
29,0.177438,0.023711,0.018708
30,0.181808,0.0233824,0.0154598
31,0.174811,0.0238039,0.018821
32,0.20876,0.0237162,0.0190637
33,0.18725,0.0225897,0.0171329
34,0.174286,0.0226356,0.0158423
35,0.165698,0.0228718,0.0164971
36,0.167152,0.0221402,0.0152499
37,0.169194,0.0227797,0.0186402
38,0.167214,0.0226374,0.0188545
39,0.16536,0.022799,0.0180555
40,0.166966,0.0222838,0.015419
41,0.164783,0.0227299,0.0171447
42,0.178923,0.0221132,0.0156641
43,0.17281,0.0224286,0.018545
44,0.172761,0.0219925,0.0157199
45,0.165547,0.0224763,0.0176093
46,0.169037,0.0221108,0.0155027
47,0.170643,0.0222048,0.0160645
48,0.165989,0.0226021,0.0174084
49,0.205338,0.0221252,0.0161348
50,0.167051,0.0221713,0.019788
51,0.167087,0.0223421,0.0186809
52,0.166645,0.0220058,0.0184576
53,0.166379,0.0222087,0.0180473
54,0.200884,0.022304,0.0165624
